date,temperatureC,weather
2003-07-17,18.65,Clear
2003-07-18,16.712499999999995,Scattered Clouds
2003-07-19,16.441666666666674,Mostly Cloudy
2003-07-20,19.168000000000006,Scattered Clouds
2003-07-21,17.45416666666667,Scattered Clouds
2003-07-22,16.308,Partly Cloudy
2003-07-23,15.879166666666665,Scattered Clouds
2003-07-24,17.129166666666666,Mostly Cloudy
2003-07-25,17.048000000000005,Scattered Clouds
2003-07-26,16.553846153846152,Partly Cloudy
2003-07-27,16.241666666666664,Scattered Clouds
2003-07-28,14.696296296296298,Scattered Clouds
2003-07-29,14.755999999999997,Mostly Cloudy
2003-07-30,16.420689655172417,Mostly Cloudy
2003-07-31,17.337037037037042,Mostly Cloudy
2003-08-01,18.214814814814815,Mostly Cloudy
2003-08-02,18.737931034482752,Mostly Cloudy
2003-08-03,18.279999999999998,Mostly Cloudy
2003-08-04,18.251999999999995,Scattered Clouds
2003-08-05,19.49666666666667,Mostly Cloudy
2003-08-06,17.93870967741936,Scattered Clouds
2003-08-07,18.32307692307692,Partly Cloudy
2003-08-08,18.762962962962963,Partly Cloudy
2003-08-09,18.65833333333333,Partly Cloudy
2003-08-10,18.740740740740744,Partly Cloudy
2003-08-11,18.279166666666665,Clear
2003-08-12,17.270833333333332,Partly Cloudy
2003-08-13,17.329629629629636,Clear
2003-08-14,17.735714285714284,Scattered Clouds
2003-08-15,17.171428571428574,Scattered Clouds
2003-08-16,17.544000000000004,Partly Cloudy
2003-08-17,16.826923076923077,Clear
2003-08-18,17.208,Mostly Cloudy
2003-08-19,-339.79642857142846,Overcast
2003-08-20,18.814285714285713,Clear
2003-08-21,19.424,Scattered Clouds
2003-08-22,19.768,Partly Cloudy
2003-08-23,19.204166666666666,Partly Cloudy
2003-08-24,21.952,Clear
2003-08-25,21.29583333333333,Clear
2003-08-26,17.588461538461537,Partly Cloudy
2003-08-27,16.700000000000003,Partly Cloudy
2003-08-28,15.535714285714283,Overcast
2003-08-29,15.672000000000004,Partly Cloudy
2003-08-30,14.655555555555557,Partly Cloudy
2003-08-31,15.633333333333336,Partly Cloudy
2003-09-01,16.34166666666667,Clear
2003-09-02,17.05,Partly Cloudy
2003-09-03,18.46153846153846,Partly Cloudy
2003-09-04,18.053846153846152,Partly Cloudy
2003-09-05,17.43103448275862,Clear
2003-09-06,17.504166666666666,Partly Cloudy
2003-09-07,17.432258064516123,Mostly Cloudy
2003-09-08,16.492592592592597,Scattered Clouds
2003-09-09,17.34814814814815,Mostly Cloudy
2003-09-10,17.493548387096777,Patches of Fog
2003-09-11,22.5,Clear
2003-09-12,24.187499999999996,Clear
2003-09-13,23.375,Clear
2003-09-14,17.536000000000005,Clear
2003-09-15,16.70384615384615,Scattered Clouds
2003-09-16,16.06666666666667,Partly Cloudy
2003-09-17,18.045833333333334,Clear
2003-09-18,19.529166666666665,Clear
2003-09-19,18.372,Clear
2003-09-20,19.549999999999997,Clear
2003-09-21,22.925,Clear
2003-09-22,22.983333333333324,Clear
2003-09-23,17.74166666666667,Clear
2003-09-24,16.896153846153844,Scattered Clouds
2003-09-25,15.689285714285715,Overcast
2003-09-26,15.984000000000004,Overcast
2003-09-27,15.44827586206897,Overcast
2003-09-28,16.279310344827586,Partly Cloudy
2003-09-29,16.555999999999997,Partly Cloudy
2003-09-30,15.183999999999996,Clear
2003-10-01,15.180769230769231,Mostly Cloudy
2003-10-02,14.034482758620687,Overcast
2003-10-03,14.470967741935478,Overcast
2003-10-04,15.216000000000001,Mostly Cloudy
2003-10-05,15.991666666666665,Scattered Clouds
2003-10-06,14.649999999999999,Partly Cloudy
2003-10-07,15.218518518518515,Partly Cloudy
2003-10-08,-329.7137931034482,Partly Cloudy
2003-10-09,15.044827586206893,Clear
2003-10-10,15.179166666666667,Clear
2003-10-11,14.812000000000001,Clear
2003-10-12,16.1375,Clear
2003-10-13,15.6875,Clear
2003-10-14,15.424999999999999,Clear
2003-10-15,13.803999999999995,Partly Cloudy
2003-10-16,15.275,Clear
2003-10-17,16.330434782608695,Scattered Clouds
2003-10-18,16.458333333333336,Scattered Clouds
2003-10-19,16.848,Mostly Cloudy
2003-10-20,16.55416666666667,Clear
2003-10-21,16.244444444444444,Clear
2003-10-22,15.20588235294118,Mostly Cloudy
2003-10-23,-240.89230769230775,Scattered Clouds
2003-10-24,19.470833333333335,Clear
2003-10-25,23.141666666666666,Clear
2003-10-26,22.129166666666663,Clear
2003-10-27,20.899999999999995,Clear
2003-10-28,20.51666666666667,Clear
2003-10-29,15.570833333333333,Clear
2003-10-30,12.176923076923078,Scattered Clouds
2003-10-31,11.488,Mostly Cloudy
2003-11-01,11.633333333333333,Partly Cloudy
2003-11-02,11.129166666666668,Mostly Cloudy
2003-11-03,11.345833333333331,Scattered Clouds
2003-11-04,10.042307692307691,Partly Cloudy
2003-11-05,11.085185185185184,Overcast
2003-11-06,13.546428571428569,Overcast
2003-11-07,14.257142857142856,Mostly Cloudy
2003-11-08,14.985185185185186,Mostly Cloudy
2003-11-09,14.899999999999999,Mostly Cloudy
2003-11-10,13.759999999999998,Clear
2003-11-11,13.195833333333335,Clear
2003-11-12,15.154166666666667,Clear
2003-11-13,14.312499999999993,Mostly Cloudy
2003-11-14,13.569230769230769,Overcast
2003-11-15,11.8375,Mostly Cloudy
2003-11-16,11.417857142857144,Scattered Clouds
2003-11-17,13.544444444444446,Scattered Clouds
2003-11-18,13.175999999999997,Scattered Clouds
2003-11-19,13.125000000000002,Scattered Clouds
2003-11-20,12.600000000000001,Scattered Clouds
2003-11-21,10.4625,Partly Cloudy
2003-11-22,9.374999999999998,Clear
2003-11-23,9.283333333333333,Clear
2003-11-24,9.283333333333333,Partly Cloudy
2003-11-25,9.703999999999999,Partly Cloudy
2003-11-26,11.133333333333333,Clear
2003-11-27,11.133333333333335,Mostly Cloudy
2003-11-28,11.654166666666663,Mostly Cloudy
2003-11-29,11.579166666666666,Mostly Cloudy
2003-11-30,11.739583333333334,Light Rain
2003-12-01,13.344444444444441,Overcast
2003-12-02,13.371428571428575,Mostly Cloudy
2003-12-03,11.4,Patches of Fog
2003-12-04,10.675862068965513,Overcast
2003-12-05,-272.4942857142857,Mostly Cloudy
2003-12-06,14.855555555555553,Mostly Cloudy
2003-12-07,12.770833333333336,Mostly Cloudy
2003-12-08,9.8625,Clear
2003-12-09,10.353846153846153,Light Rain
2003-12-10,12.682142857142855,Mostly Cloudy
2003-12-11,10.766666666666667,Scattered Clouds
